task,solution,link,long_solution
"Можно ли на самолете долететь до Луны? (Надо принять во внимание, что самолеты снабжены реактивными двигателями, как и космические ракеты, и работают на том же топливе, что и они.)","Самолет в полете «держится» на воздухе, поэтому долететь на самолете до Луны невозможно, ведь воздуха в открытом космосе нет.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Девушка уронила свое кольцо в чашку, в которой был растворимый кофе. Почему кольцо осталось сухим?",В чашку ещё не успели налить воды.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Миссионер попал в плен к дикарям, которые посадили его в темницу и сказали: «Отсюда только два выхода — один на свободу, другой к гибели; выбраться тебе помогут два воина, — один говорит всегда правду, другой всегда лжет, но неизвестно, кто из них лжец, а кто правдолюбец; ты можешь задать любому из них только один вопрос». Какой вопрос надо задать, чтобы выбраться на свободу?","Надо обратиться к любому из воинов со следующим вопросом: «Если я спрошу тебя, этот ли выход ведет на свободу, то ты ответишь мне «да»?» При такой постановке вопроса тот воин, который все время лжет, будет вынужден говорить правду. Допустим, вы, показывая ему на выход к свободе, говорите: «Если я спрошу тебя, этот ли выход ведет на свободу, то ты ответишь мне «да»?» Правдой в этом случае будет, если он ответит «нет», но ему ведь надо солгать и поэтому он вынужден сказать «да».",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Если три дня назад был день, предшествующий понедельнику, то какой день будет послезавтра?","Перед понедельником было воскресенье. Если три дня назад было воскресенье, то сегодня — среда. Если сегодня — среда, значит, послезавтра будет пятница.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Девушка ехала в такси. По пути она так много болтала, что шофер занервничал. Он сказал ей, что очень сожалеет, но не слышит ни слова, поскольку его слуховой аппарат не работает — он глух как пробка. Девушка замолчала, но, когда они доехали до места, поняла, что водитель над ней подшутил. Как она догадалась?","Если таксист глух, как он понял, куда везти девушку? И еще: как он тогда понял, что она вообще что-то говорит?",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Вы находитесь в каюте стоящего на якоре океанского лайнера. В полночь вода была на 4 м ниже иллюминатора и поднималась на полметра в час. Если эта скорость удваивается каждый час, то за какое время вода достигнет иллюминатора?","Вода никогда не достигнет иллюминатора, потому что лайнер поднимается вместе с водой.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Из Москвы во Владивосток каждый день выходит поезд. Так же каждый день из Владивостока в Москву выходит поезд. Переезд длится 10 дней. Если вы выехали из Владивостока в Москву, то сколько поездов, идущих в обратном направлении, встретится вам во время поездки?","На первый взгляд может показаться, что во время поездки мы повстречаем десять поездов. Но это не так: мы встретим не только те десять поездов, которые вышли из Москвы после нашего отправления, но и те, которые к моменту нашего отъезда уже находились в пути. Значит, мы встретим не десять, а двадцать поездов.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Существует простой и дешевый способ путешествовать, которым, как это ни удивительно, никто не пользуется. Как известно, Земля вращается вокруг своей оси, причем достаточно быстро (всего за 24 часа каждая точка земного экватора проходит приблизительно 40 000 км — путь, равный длине экватора). Значит, вместо того, чтобы куда-то ехать на поезде или лететь на самолете, или плыть на корабле, нам достаточно подняться высоко над землей на воздушном шаре или дирижабле и какое-то время там неподвижно находиться. За это время Земля повернется к нам другой частью своей поверхности и надо будет всего лишь спуститься в нужное место. Верно ли это рассуждение? Если нет, то какая ошибка в нем допущена?","Такой способ путешествий, конечно же, непригоден. Атмосфера, притягиваемая Землей, вращается вместе с ней. А если бы даже атмосфера была неподвижной, то, поднявшись в нее с вращающейся Земли, мы некоторое время продолжали бы земное движение по инерции. Кроме того, если бы атмосфера была неподвижной, а Земля продолжала бы в ней вращаться (причем достаточно быстро: см. условие задачи), то в этом случае на Земле не переставал бы бушевать грандиознейший ураган, который сделал бы невозможным не только какие-либо путешествия, но и саму человеческую жизнь.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Возможно ли вскипятить воду на открытом пламени в бумажной коробке?,"Вопрос задачи, на первый взгляд, кажется очень странным, ведь если держать бумагу над огнем, то она обязательно загорится. Но дело в том, что температура кипения воды намного ниже температуры воспламенения бумаги. Поскольку теплоту пламени забирает кипящая вода, бумага не может нагреться до нужной температуры и поэтому не загорается. Надо только, чтобы бумага была достаточно плотной, иначе вода просто порвет ее и выльется на пламя. Для кипячения воды вполне подойдет картонная коробка. То же самое объяснение лежит в основе такого явления, как несгораемая бумажка, плотно намотанная на металлический стержень (или стальной гвоздь) и внесенная в пламя свечи. Теплоту огня будет забирать стержень, не давая бумажке нагреться до нужной температуры и загореться.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"В одном классе ученики разделились на две группы. Одни должны были всегда говорить только правду, а другие — только неправду. Все ученики класса написали сочинение на свободную тему, которое должно было заканчиваться фразой: «Все, здесь написанное, правда» или «Все, здесь написанное, ложь». В классе было 17 правдолюбцев и 18 лжецов. Сколько получилось сочинений с утверждением о правдивости написанного?","Все правдолюбцы верно утверждали, что все написанное ими — правда, но и все лжецы ложно утверждали, что все написанное ими — правда. Таким образом, все 35 сочинений содержали утверждение о правдивости написанного.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Сколько у вас было всего всего прапрадедушек и прапрабабушек?,"У каждого человека 2 родителя, 2 бабушки и 2 дедушки, 4 прабабушки и 4 прадедушки, 8 прапрабабушек и 8 прапрадедушек.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Диалог в магазине хозяйственных товаров:

— Сколько стоит один?
— 20 рублей, — ответил продавец.

— Сколько стоит 12?
— 40 рублей.

— Хорошо, дайте мне 120.
— Пожалуйста, с вас 60 рублей.

Что покупал посетитель?",Номер для квартиры.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Бутылка с пробкой стоит 1 р. 10 к. Бутылка дороже пробки на 1 р. Сколько стоит бутылка и сколько стоит пробка?,"На первый взгляд может показаться, что бутылка стоит 1 р., а пробка 10 к., но тогда бутылка дороже пробки на 90 к., а не на 1 р., как по условию. На самом деле, бутылка стоит 1 р. 05 к., а пробка стоит 5 к.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Катя живёт на четвёртом этаже, а Оля – на втором. Поднимаясь на четвёртый этаж, Катя преодолевает 60 ступенек. Сколько ступенек надо пройти Оле, чтобы подняться на второй этаж?","На первый взгляд может показаться, что Оля проходит 30 ступенек – в два раза меньше, чем Катя, так как она живёт в два раза ниже её. На самом деле это не так. Когда Катя поднимается на четвёртый этаж, она преодолевает 3 лестничных пролёта между этажами. Значит между двумя этажами 20 ступенек: 60 : 3 = 20. Оля поднимается с первого этажа на второй, следовательно, она преодолевает 20 ступенек.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Каким образом из кружки, ковшика, кастрюли и любой другой посуды правильной цилиндрической формы, наполненной до краёв водой, отлить ровно половину, не используя никаких измерительных приборов?","Любая посуда правильной цилиндрической формы, если смотреть на неё сбоку, представляет собой прямоугольник. Как известно, диагональ прямоугольника делит его на две равные части. Точно так же цилиндр делится пополам эллипсом. Из наполненной водой посуды цилиндрической формы надо отливать воду до тех пор, пока поверхность воды с одной стороны не достигнет угла посуды, где её дно смыкается со стенкой, а с другой стороны края посуды, через который она выливается. В этом случае в посуде останется ровно половина воды.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Три курицы несут три яйца за три дня. Сколько яиц снесут 12 куриц за 12 дней?,"Можно сходу ответить, что 12 куриц за 12 дней снесут 12 яиц. Однако это не так. Если три курицы за три дня несут три яйца, значит одна курица за те же три дня несёт одно яйцо. Следовательно, за 12 дней она снесёт: 12 : 3 = 4 яйца. Если же куриц будет 12, то за 12 дней они снесут: 12 · 4 = 48 яиц.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Назовите два числа, у которых количество цифр равно количеству букв, составляющих название каждого из этих чисел.",Сто (100) и миллион (1000000),https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"«Ручаюсь, – сказал продавец в зоомагазине, – что этот попугай будет повторять любое услышанное слово». Обрадованный покупатель приобрёл чудо-птицу, но, придя домой, обнаружил, что попугай нем, как рыба. Тем не менее, продавец не лгал. Как такое возможно? (Задача-шутка.)","Попугай действительно может повторять каждое услышанное слово, но он глух и не слышит ни одного слова.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"В комнате есть свеча и керосиновая лампа. Что вы зажжёте первым, когда вечером войдёте в эту комнату?","Конечно же, спичку, так как без неё нельзя зажечь ни свечу, ни керосиновую лампу. Вопрос задачи двусмыслен, ведь его можно понимать то ли как выбор между свечой и керосиновой лампой, то ли как последовательность в зажигании чего-либо (сначала спичка, потом – от неё – всё остальное).",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Половина от половины числа равна половине. Какое это число?,"Это число 2. Половина этого числа равна 1, а половина от половины этого числа (т. е. единицы) равна 0,5, т. е. тоже половине.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Со временем человек обязательно побывает на Марсе. Саша Иванов – это человек. Следовательно, Саша Иванов со временем обязательно побывает на Марсе. Верно ли это рассуждение? Если нет, то какая ошибка в нём допущена?","Рассуждение неверно. Совершено необязательно, что Саша Иванов со временем побывает на Марсе. Внешняя правильность этого рассуждения создаётся за счёт употребления в нём одного слова («человек») в двух разных смыслах: в широком (абстрактный представитель человечества) и в узком (конкретный, данный, именно этот человек).",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Часто говорят, что композитором, или художником, или писателем, или учёным надо родиться. Верно ли это? Действительно ли композитором (художником, писателем, учёным) надо родиться?","Конечно же, композитором, равно как и художником, писателем или учёным, надо родиться, ведь если человек не родится, то он не сможет сочинять музыку, рисовать картины, писать романы или делать научные открытия. Эта шуточная задача основана на двусмысленности вопроса: «Действительно ли надо родиться?» Данный вопрос можно понимать буквально: надо ли рождаться на свет для того, чтобы заниматься каким-либо видом деятельности; а также данный вопрос можно понимать в переносном смысле: является ли талант композитора (художника, писателя, учёного) врождённым, данным от природы или же он приобретается во время жизни упорным трудом.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Для того чтобы видеть, совсем не обязательно иметь глаза. Без правого глаза мы видим. Без левого тоже видим. А поскольку кроме левого и правого глаза других глаз у нас нет, то оказывается, что ни один глаз не является необходимым для зрения. Верно ли это утверждение? Если нет, то какая ошибка в нём допущена?","Рассуждение, конечно же, неверно. Его внешняя правильность основана на почти незаметном исключении ещё одного варианта, который в данном рассуждении также необходимо было рассмотреть. Это вариант, когда не видит ни один глаз. Именно он и был пропущен: «Без правого глаза мы видим, без левого тоже, значит, глаза необязательны для зрения». Правильное утверждение должно быть таким: «Без правого глаза мы видим, без левого тоже видим, но без двух вместе не видим, значит, мы видим или одним глазом, или другим, или двумя вместе, но мы не можем видеть без глаз, которые, таким образом, необходимы для зрения».",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Попугай прожил меньше 100 лет и умеет отвечать только на вопросы «да» и «нет». Сколько вопросов ему надо задать, чтобы узнать его возраст?","На первый взгляд может показаться, что попугаю можно задать до 99 вопросов. На самом же деле можно обойтись гораздо меньшим числом вопросов. Спросим его так: «Тебе больше 50 лет?» Если он ответит «да», то его возраст от 51 до 99 лет; если же он ответит «нет», то ему от 1 года до 50 лет. Количество вариантов его возраста после первого же вопроса сокращается вдвое. Следующий подобный вопрос: «Тебе больше (можно спросить – меньше) 25 лет?», «Тебе больше (меньше) 75 лет?» (в зависимости от ответа на первый вопрос) сокращает число вариантов в четыре раза и т. д. В итоге попугаю надо задать всего 7 вопросов.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Один человек, попавший в неволю, рассказывает следующее: «Моя темница находилась в верхней части замка. После многодневных усилий мне удалось выломать один из прутьев в узком окне. В образовавшееся отверстие можно было пролезть, но расстояние до земли было слишком велико, чтобы просто спрыгнуть вниз. В углу темницы я обнаружил забытую кем-то верёвку. Однако она оказалась слишком короткой, чтобы можно было спуститься по ней. Тогда я вспомнил, как один мудрец удлинял слишком короткое для него одеяло, обрезав часть его снизу и пришив её сверху. Поэтому я поспешил разделить верёвку пополам и снова связать две образовавшиеся части. Тогда она стала достаточно длинной, и я благополучно спустился по ней вниз». Каким образом рассказчику удалось это сделать?","Рассказчик разделил верёвку не поперёк, как, скорее всего, может показаться, а вдоль, сделав из неё две верёвки одинаковой длины. Когда он связал две части вместе, верёвка стала в два раза длиннее, чем была сначала.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Составьте вопрос из пяти стоящих подряд букв русского алфавита.,Где ёж?,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Перед вами электронные часы. Сколько раз в сутки они будут показывать время так, что все ячейки на циферблате (часы, минуты, секунды) будут заполнены одной и той же цифрой?",Три раза: 00.00.00; 11.11.11; 22.22.22,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Мужчина ночью долго ворочался в кровати и никак не мог заснуть…
Потом он взял телефон, набрал чей-то номер, прослушав несколько длинных гудков — положил трубку и спокойно заснул. Вопрос: почему он до этого не мог заснуть?","За стеной громко храпел сосед, который потом проснулся от телефонного звонка.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
Карандаш положили на пол и попросили нескольких человек перепрыгнуть через него. Но никто не смог этого сделать. Почему?,Его вплотную положили к стене.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Как нужно бросить мяч, чтобы он точно прилетел к вам обратно?",Вверх.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Джордж Вашингтон, Шерлок Холмс, Уильям Шекспир, Людвиг Ван Бетховен, Наполеон Бонапарт и Нерон – кто из них принципиально отличается от других?",Шерлок Холмс – вымышленный персонаж.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Представьте себе: 6‑километровый мост, который выдерживает ровно 25 тонн. Полностью снаряженная фура, включая водителя, которая весит 25 тонн, едет по мосту. В середине моста на фуру сел 30-грамовый воробей. Мост при этом не рушится. Почему?","Грузовик израсходовал топливо, добираясь до центра моста.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Я был приглашен на вечеринку. Там я увидел человека с очень редкими часами. Откуда я знаю, что эти часы были украдены?",Потому что эти часы были моими.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
8 + 7 = 13 или 7 + 8 = 13?,8 + 7 = 15 а не 13,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
У фрау и герр Майерс есть 4 дочери. У каждой дочери есть один брат. Сколько всего детей у Майерсов?,Четыре дочери и один сын.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Что за трава, которую и слепые знают?",Крапива,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"Идут рядом два человека, один из них — отец сына другого. Как такое может быть?",Это отец и мать ребенка,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi,
"У Марка есть фишки красного и синего цвета. Красные фишки с нечетными числами, а синие — с четными. Какого цвета будет фишка с числом, если это число равно сумме нечетного и четного чисел?",Красного цвета. Сумма нечетного и четного чисел всегда равна нечетному числу.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-2,
Какая птица состоит из буквы и реки?,Иволга,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-3,
Галльские жрецы нашли безотказный способ быстрой мобилизации воинов в случае начала войны. Для этого они приносили в жертву только одного человека. Какого?,Пришедшего последним,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-4,
Сколько раз цифра 9 встречается в ряду от одного до ста?,20 раз,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-5,
Как с помощью арифметических действий и четырех девяток получить 100?,99 + 9:9=100,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-6,
"У фермера было 17 гусей, и все, кроме девяти, улетели. Сколько гусей осталось у фермера?",9 гусей,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-7,
"Трехзначное число состоит из возрастающих (слева направо) цифр. Если это число прочитать, то все слова будут начинаться на одну и ту же букву. Что это за число?",147,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-8,
"Если три дня назад был день, предшествующий понедельнику, то какой день будет послезавтра?",Пятница,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-9,
"Петя и Миша играли на грязном и темном чердаке дома. Потом они спустились вниз. У Пети лицо было грязным, а лицо Миши чудом осталось чистым. Несмотря на это, только Миша отправился умываться. Почему?","Миша увидел, что у Пети грязное лицо и подумал, что у него также лицо грязное, Петя, увидев чистое лицо Миши, подумал, что с его лицом также все в порядке.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-10,
"За столом сидят японец, ковбой и джентльмен. Сколько под столом ног?","Японец сидит, поджав ноги, ковбой сидит, закинув ноги на стол, только джентльмен сидит, положив ногу на ногу. Итого: 1 нога не считая ножек стола.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-11,
"Шли одной дорогой муж с женой, брат с сестрой, шурин с зятем. Сколько их всего?",Трое: муж с женой и брат жены.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-12,
"Отец с двумя сыновьями отправился в поход. На их пути встретилась река, у берега которой находился плот. Он сможет выдержать на воде или отца, или двух сыновей. Как переправиться на другой берег отцу и двум сыновьям?","Вначале переправляются оба сына. Один из сыновей возвращается обратно к отцу. Отец перебирается на противоположный берег к сыну. Отец остается на берегу, а сын переправляется на исходный берег за братом, после чего они оба переправляются к отцу.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-13,
"Люди, приезжавшие в одну деревушку, часто удивлялись местному чудаку. Когда ему предлагали выбор между блестящей 50-центовой монетой и мятой пятидолларовой купюрой, он всегда выбирал монету, хотя она стоит вдесятеро меньше купюры. Почему он никогда не выбирал купюру?","Чудак был не так глуп: он понимал, что, пока он будет выбирать 50-центовую монету, люди будут предлагать ему деньги на выбор, а если он выберет пятидолларовую купюру, предложения денег прекратятся, и он не будет получать ничего.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-14,
"Маленький детектив: человека  нашли убитым в его кабинете. Тело наклонено над письменным столом, в руке зажат револьвер, на столе диктофон. Полицейские включают диктофон  и сразу слышат записанное на пленку сообщение: «Я не могу больше жить. Жизнь больше не имеет для меня никакого смысла…». После  раздается выстрел. Почему полицейские сразу поняли, что имело место убийство?",Потому что запись пошла с начала: некто перемотал пленку диктофона.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-15,
"На столе лежат две монеты, в сумме они дают 3 рубля. Одна из них — не 1 рубль. Какие это монеты?","2 рубля и 1 рубль. Одна из них не 1 рубль, а вот другая 1 рубль.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-16,
"У вас есть два шнура (фитиля). Каждый шнур, подожженный с конца, полностью сгорает дотла ровно за один час, но при этом горит с неравномерной скоростью. Как при помощи этих шнуров и зажигалки отмерить время в 45 минут?","Необходимо поджечь первый шнур одновременно с обоих концов — получаем 30 минут. Одновременно с первым шнуром поджигаем второй шнур с одного конца, и когда первый шнур догорит (30 минут), — поджигаем второй шнур с другого конца (оставшиеся 15 минут).",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-17,
"В каком случае, смотря на цифру 2, мы говорим «десять»?","Когда мы смотрим на часы, которые показывают десять минут какого-либо часа.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-18,
Какая женщина не смотрится в зеркало?,Слепая,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-19,
"Сын отца профессора разговаривает с отцом сына профессора, причем сам профессор в разговоре не участвует. Как такое может быть?","Такое возможно, если профессор — женщина, а разговаривают ее брат и муж.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-20,
Когда сутки короче — летом или зимой?,Одинаково,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-21,
"Два теплохода одновременно вышли из портов и с постоянной скоростью движутся во встречном направлении. Скорость одного теплохода 20 км/час, другого 30 км/час. На каком расстоянии друг от друга они будут находиться ровно за один час до их встречи?",50 км (20+30),https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-22,
"Когда сова сидит на ветке, она весит 1 кг, а сколько она будет весить в полете?",1 кг,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-23,
Три курицы несут три яйца за три дня. Сколько яиц снесут 12 куриц за 12 дней?,"Можно сходу ответить, что 12 куриц за 12 дней снесут 12 яиц. Но это не так. Если три курицы за три дня несут три яйца, значит одна курица за те же три дня несет одно яйцо. Следовательно, за 12 дней она снесет: 12:3 = 4 яйца. Если же куриц будет 12, то за 12 дней они снесут: 12 х 4 = 48.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-24,
Как написать «сухая трава» четырьмя буквами?,сено,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-25,
"Что можно взять в правую руку, но нельзя взять в левую?",Локоть левой руки,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-26,
"У портного есть кусок сукна длиной 16 метров, от которого он отрезает ежедневно по 2 метра. По истечении скольких дней он отрежет последний кусок?",Последний кусок будет отрезан по истечении 7 дней,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-27,
"Шел Петя в лес, навстречу ему — три охотника. У каждого охотника — ружье. В ружье — по два патрона. Сколько всего человек шли в лес?",Один — Петя,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-28,
"К реке подходят два человека. У берега — лодка, которая может выдержать только одного. О6а человека переправились на противоположный берег. Как они это сделали?",Они были на разных берегах,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-29,
За что ученика выгнали из класса?,За дверь,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-30,
"Один мальчик встретил на базаре мужчину, который предложил пари: «Если я напишу на листке твой точный вес, то ты заплатишь мне тысячу рублей, если я напишу неправильно, то я заплачу тебе тысячу рублей. При этом я не буду тебя взвешивать и расспрашивать». Мальчик согласился. Мужчина написал на бумаге и показал мальчику. Мальчик посмотрел на бумагу и отдал 1000 рублей мужчине. Как мужчина выиграл пари?",Мужчина написал на бумаге слова «твой точный вес».,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-31,
"Оно всегда перед нами, но видеть его мы не можем.",Будущее,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-32,
"Химик обнаружил, что некоторая реакция протекает в течение 80 минут, если он в пиджаке. Если же он без пиджака, то та же самая реакция протекает за 1 час 20 минут. Как вы это объясните?","80 минут — это то же самое, что и 1 час 20 минут",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-33,
"Что поднять с земли легко, но трудно кинуть далеко.",Пух,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-34,
"Для кого нет такого отверстия, чтобы он не пролез?",Свет,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-35,
Почему дома у Саши нельзя ставить на угол стола вазу с фиалками?,Потому что у него стол круглый.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-36,
"Одного человека спросили:— Сколько вам лет?— Порядочно, — ответил он, — я старше некоторых своих родственников в шестьсот раз. Может такое быть?","Да. Если деду пятьдесят лет, а внуку один месяц, то дед в этом случае старше внука в шестьсот раз.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-37,
"Это дается человеку трижды: первые два раза бесплатно, а за третий — нужно заплатить.",Зубы,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-38,
Если это стоит — его можно на пальцах пересчитать. Но если его положить — во век не сосчитаешь.,Цифра «8»,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-39,
Что вниз вершиной растет?,Сосулька,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-40,
"В пруду растет один лист лилии. Каждый день число листьев удваивается. На какой день пруд будет покрыт листьями лилии наполовину, если известно, что полностью он будет покрыт ими через 100 дней.","Пруд будет полностью покрыт листьями на 99‑й день. По условию — число листьев каждый день удваивается, и если на 99‑й день пруд покрыт листьями наполовину, то на следующий день и вторая половина пруда будет покрыта листьями, а известно, что полностью пруд покроется ими через 100 дней.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-41,
Мельник пошел на мельницу и увидел в каждом углу по 3 кошки. Сколько ног и лап на мельнице?,На мельнице 50 ног и лап. 3х4х4 + 2 = 50.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-42,
