prompt,solution,link
"Регион: [Россия](/regiony/rossiya) Добрый вечер. Ситуация следующая: во 2-м классе (начальная школа) ушел в декрет учитель, произошло это в начале октября, на сегодняшний момент новый учитель не найден (есть только педагог его замещающий).
Вопрос: есть ли какие-то сроки, в которые школа должна принять на работу нового специалиста?","Школа обязана предоставить замещающего, нового учителя не может создать, если никто не хочет работать учителем",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobryy-vecher-situaciya-sleduyushchaya-vo-2-m-klasse-nachaln
"Регион: [Россия](/regiony/rossiya)  Здравствуйте .подскажите .после смерти мужа -дочь, сын ,жена вступили в наследство, долю отца через нотариус подарили маме, затем сын подарил свою долю маме, а когда возник вопрос жилья у сына, сообща с дочерью мама покупат ему ( сыну)жилье, позже ,мама передает все права на жилье дочери, и было сказано,что дочь не должна ущемлять права проживания ипользования жильем,на сегодня ,дочь продала то жилье,и купила на вырученные деньги от продажи + мат.капиталл ,другое жилье ,но с использованием мат.капиталла ,отказывает матери в регистрации и прописке/пенсия/ и фактически проживания своей матери.Мать когда покупала жилье сыну ,оформляла все на себя ,там живёт семья сына .Теперь дочь гонит мать к сыну и говорит ,что доля матери находится у сына ..как матери вернуть свою долю ?,когда все переоформила на дочь.? Куда обращаться ? Имеет ли право мать на долю в том жилье ,что купила дочь сейчас ? Сыну жилье мать будет переоформлять на него ,так как боится что дочь будет претендовать на наследство ,после смерти матери ,так как официально жилье сына зарегистрировано на матери .спасибо за ответ .","Собственник самостоятельно распоряжается своим имуществом, поэтому о выделении доли решать настоящему собственнику",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-podskazhite-posle-smerti-muzha-doch-syn
"Регион: [Россия](/regiony/rossiya) Добрый день, возможно ли получить свои первые права, если есть задолженность по возмещению материального ущерба? Не оплачивал около 2 лет, в декабре хочу получить права, если нельзя, то при возобновлении платежей, можно будет их получить?","Если речь о водительских правах, то препятствий нет",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobryy-den-vozmozhno-li-poluchit-svoi-pervye-prava-es
"Регион: [Россия](/regiony/rossiya) Супруг приобрёл квартиру в браке на своё имя на деньги, полученные от продажи своей личной ( купленной до брака) квартиры. Он умер. Является ли эта квартира совместно нажитым имуществом?","Совместно нажитым оно являтся, до оспаривания данного факта в суде",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/suprug-priobryol-kvartiru-v-brake-na-svoyo-imya-na-dengi
"Регион: [Вологодская область](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D0%B2%D0%BE%D0%BB%D0%BE%D0%B3%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F-%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C) Здравствуйте. Проживаю в частном деревянном доме. Год постройки дома 1889. Земля и дом приватизированы. Дом находиться в печальном состоянии. На основании комиссии БТИ от 05.02.2004 износ дома составляет 69%. Думаю, что на данный момент не будет проблем признать дом аварийным. Подскажите, смогу ли я получить от муниципалитета жилье в соц. Найм или деньги за отчуждения данного строения и земли в счет государства? С чего нужно начать и какие шаги нужно предпринять? В собственно имеется еще квартира в многоквартирном доме. Город Вологда. Заранее огромное спасибо","Если у Вас есть но жилье, то нуждающейся Вас не признают",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/avariynyy-chastnyy-dom
"Регион: [Россия](/regiony/rossiya) решите пожалуйста ситуацию
По соглашению между работником и работодателем ежегодный оплачиваемый отпуск может быть разделен на части. При этом хотя бы одна из частей этого отпуска должна быть не менее 14 календарных дней.
Отзыв работника из отпуска допускается только с его согласия. Неиспользованная в связи с этим часть отпуска должна быть предоставлена по выбору работника в удобное для него время в течение текущего рабочего года или присоединена к отпуску за следующий рабочий год.
Не допускается отзыв из отпуска работников в возрасте до восемнадцати лет, беременных женщин и работников, занятых на работах с вредными и (или) опасными условиями труда.",Вы не написали конкретный вопрос,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/reshite-pozhaluysta-situaciyu-po-soglasheniyu-mezhdu-rabotn
"Регион: [Россия](/regiony/rossiya) Отец пьёт, еле ходит только за бутылкой, к себе взять не могу что делать",Данный вопрос не относится к правовой отрасли,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/otec-pyot-ele-hodit-tolko-za-butylkoy-k-sebe-vzyat-ne
"Регион: [Россия](/regiony/rossiya) Здравствуйте, меня шантажирует бывший молодой человек, говорит, если я не вернусь, то он будет предпринимать против меня действия, можно ли на него написать заявление за шантаж?","Нужны конкретные угрозы, например если он будет угрожать распространить фото интимного характера",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-menya-shantazhiruet-byvshiy-molodoy-chelovek
"Регион: [Россия](/regiony/rossiya) Суд взыскал с меня, как ответчика (истец - страховая компания), административное взыскание на 100 тыс. руб за нарушение ДТП (прошёлся в неположенном месте и меня сбил автомобиль). Могу не платить?","Если взысали по решению суда, в таком случае приставы принудительно взыщут",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/sud-vzyskal-s-menya-kak-otvetchika-istec-strahovaya-kom
"Регион: [Россия](/regiony/rossiya) Отец детей иностранец, проживает за границей, в России никогда не был, мать и дети русские, отец вписан в свидетельства о рождении, никакой недвижимости в России не имеет, подала на алименты 2 года назад в России, алименты не платит, с детьми не общается никак, можно ли лишить отца иностранца родительских прав в России?","Важно, чтобы отец получал корреспонденцию о взыскании алиментов, вы видимо указали не его адрес в России, так как иначе бы не возбудилии дело.

Он не живет в РФ, в таком случае направляйте приказ на исполнение в его страну",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/otec-detey-inostranec-prozhivaet-za-granicey-v-rossii
"Регион: [Россия](/regiony/rossiya) Здравствуйте,снимал каршеринг 2 месяца назад и случайно управляя автомобилем поцарапал другой автомобиль,договорился с каршерингом что они не станут подавать в ГАИ а я просто оплачу повреждения и на следующий день нашёл человека у которого поцарапал машину,с ним тоже договорился,предложил починить авто а у него не было времени, просил денег сказал что щас нет,но потом будут и этот человек пропал.Щас через 2 месяца написал мне где деньги, подскажите что делать?",Вы вправе заключить соглашение,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuytesnimal-karshering-2-mesyaca-nazad-i-sluchayn
"Регион: [Россия](/regiony/rossiya) 18 сентября устроилась на работу, спустя неделю заболела и открыла больничный. Болезнь оказалось осень серьезной и я уже 2.5 месяца на больчном. Могу ли я в данный момент уволиться с работы? И если больничный не закрыт, потребуют ли с меня какие-то справки или больничные листы? Вообще, как все сделать правильно, быстро и без лишних бумажек?",Вы вправе уволиться по соглашению сторон,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/18-sentyabrya-ustroilas-na-rabotu-spustya-nedelyu-zabolel
"Регион: [Россия](/regiony/rossiya) Добрый день! 
В мае 2019 года попал в ДТП (наезд на препятствие) в состоянии алкогольного опьянения на автомобиле каршеринга (Яндекс драйв). В ноябре 2020г. мне позвонили и спросили, когда я готов оплатить ремонт+штраф, так как страховая компания отказала в возмещении денежных средств за ремонт ТС. На электронную почту мне также прислали заказ-наряд по ремонту авто. Подскажите, пожалуйста, как я могу обжаловать сумму ремонта ведь произвести независимую экспертизу уже невозможно и, как я выяснил, машина уже находится у физ.лица. Как лучше поступить в данной ситуации, чтобы уменьшить выплачиваемую сумму? 
Есть ли какой-то установленный срок в течении которого каршеринговая компания может требовать оплатить ремонт+штраф, т.к. ДТП произошло более 1,5 лет назад?
Какие документы следует запросить у каршеринговой компании для подтверждения суммы указанной в заказ-наряде?

Заранее большое спасибо!","Срок 3 года

Требуйте акт осмотра",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobryy-den-v-mae-2019-goda-popal-v-dtp-naezd-na-prepyats
"Регион: [Россия](/regiony/rossiya) Здравствуйте! При восстановлении утерянного паспорта нужно ли свидетельство о рождении, если дедушке 91год и его у него нет. Александр.",Запросите справку или дубликат в ЗАГСЕ,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-pri-vosstanovlenii-uteryannogo-pasporta
"Регион: [Россия](/regiony/rossiya) Добрый день! Подскажите, как оформить право собственности на квартиру. В 2005 г со мной был оформлен договор социального найма жилого помещения. Когда в 2008г собралась приватизировать квартиру, оказалось, что она не в муниципальной собственности, а в частной, и принадлежит на праве собственности женщине с 2001г., но место нахождения собственницы не известно. Узнав, об этом я продолжила проживать в квартире и оплачивать коммунальные услуги и т.д, произвожу периодически косметический ремонт. Сейчас на дворе 2020 г, собственница до сих пор не объявилась, место нахождение ее не известно. Каким образом, я могу оформить в собственность квартиру ?","Сначала нужно объявить собственника умершей, после признать квартиру вымоморочным имущетсвом и только тогда рассматривать вопрос о ее приватизации",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobryy-den-podskazhite-kak-oformit-pravo-sobstvenno
"Регион: [Россия](/regiony/rossiya) Здравствуйте. Чем нам, родителям несовершеннолетнего, грозит коллективное письмо-жалоба директору школы от др.родителей одноклассников сына с ( вероятно) требованием удалить нашего ребенка из класса, где от обучается? Сыну 10 лет.",Все зависит от содержания письма,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-chem-nam-roditelyam-nesovershennoletnego
"Регион: [Россия](/regiony/rossiya) Здравствуйте, мы работаем на предприятии с вредными условиями труда, отпуск у нас составляет 71 день. Скажите пожалуйста, могут ли они из нашего отпуска высчитать больничные дни и дни без содержания?","Если отпуск закреплен договором или локальным актом, тогда не могут",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-my-rabotaem-na-predpriyatii-s-vrednymi-us
"Регион: [Россия](/regiony/rossiya) Здравствуйте брали автокредит в городе Уфа, при оформлении навязали ""карту помощи на дороге"", теперь мы хотим вернуть те деньги которые сняли за эту карту и отказаться от этой услуги. Сам офис этой карты находиться в Москве, мы никак не сможем туда поехать. 
Обращались в автосалон чтобы расторгнуть договор, они говорят, что они третье лицо и не принимают никакие заявления на возврат.как нам быть в такой ситуации...",Вам нужно направить заявление на расторжение договора(карты) по почте тому кто является исполнителем услуги,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-brali-avtokredit-v-gorode-ufa-pri-oforml
"Регион: [Россия](/regiony/rossiya) Лодочный мотор украли в августе 2018 года, дело о закрытии дела было закрыто 30.12.18. Справку в полиции взяли в ноябре 2019 года, в ГИМС лодочный мотор сняли в декабре 2019 года. Сейчас пришёл налог на украденный лодочный мотор за 2019 год. Обязаны ли мы платить данный налог?",Налог должны платить до даты снятия с учета,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/lodochnyy-motor-ukrali-v-avguste-2018-goda-delo-o-zakryti
"Регион: [Россия](/regiony/rossiya) Здравствуйте , подскажите, пожалуйста , если продавец имеет задолженность 150к. , он есть на сайте ФССП, на сайте базы банкротов его нет. продаёт квартиру и сразу покупает себе дом. Стоит ли опасаться объявления его банкротством и расторжения сделки купли-продажи? Покупка осуществлялась по рыночной цене, прописана полностью в ДКП.","150 тысяч недостаточно для банкротства, в связи, исходя из указанной информации рисков нет",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/bankrotstvo
"Регион: [Россия](/regiony/rossiya) Здравствуйте! Подскажите пожалуйста: если я будучи трудоустроенным по ГПД устроился в другую компанию по трудовому договору, но проработав там не более 4-х дней уволился, в трудовую книжку мне ничего не заносили. Пока работал эти 4 дня, на первом месте работы взял отпуск за свой счёт.
Вопрос: когда я буду устраиваться в другую компанию, будучи безработным, сможет ли работодатель узнать каким-либо способом, что я работал эти 4 дня в той организации?",Узнать что вы гое-то работали можно или из трудовой или по сведениям в ПФР,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-podskazhite-pozhaluysta-esli-ya-buduchi-tru
"Регион: [Россия](/regiony/rossiya) Здравствуйте. Я хочу удочерить ребенка, но во первых мне 18 лет (у нас с ней разница 17 лет). Я заканчиваю обучение в этом году и, как раз, через пол года собираюсь переезжать в тот город, где и находится эта девочка, как перееду устроюсь на работу и буду зарабатывать достаточно (примерно 3 прожиточных минимума). Но на сколько я знаю нужна справка о доходах за 12 месяцев, а я сейчас работаю неофициально и в принципе никогда не работала официально. Могу ли я, когда буду собирать справки, задекларировать недостающую сумму (единоразово уплатить налог и всё)? Подойдет ли такая справка для опеки и Суда?","Вы можете сдать отчетность 3 НДФЛ, но окончательно суд буде оценивать",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-ya-hochu-udocherit-rebenka-no-vo-pervyh-mn
"Регион: [Курская область](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D0%BA%D1%83%D1%80%D1%81%D0%BA%D0%B0%D1%8F-%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C) Добрый вечер! Нашим домом управляет компания ТСЖ ""ВОСХОД-УПРАВДОМ"".Крайне плохо исполняет свои обязательства, а людей очень сложно собрать на решение серьезных вопросов. Суть: живу на 10 этаже(есть тех.этаж). Ежегодно то в одном ,то в другом месте протекает крыша в квартиру. С 2012 года было много обращений. Периодически работники управляйки решали вопрос сливом ванной(сток у нас такой),которая находится на тех.этаже. Периодически растягивали пленку или подставляли ведра под место протечки. В 2017-2018 даже закупили много пленки и растянули все на том же тех.этаже. Но в марте 2019 года перестала спасать и пленка. Сильно протекло в квартиру. Вынудила управляйку через 112 придти на устранение протечки. В сентябре 2019 года была построена кровля на старый материал. Обещали 5 лет гарантии. В ноябре 2020 года вновь серьезная протечка. Полдня 2 ноября добивалась возможности попасть на крышу. Не без ругани это получилось. Итог: новая кровля повреждена. Уложена с ошибками и нарушениями. На наши вопросы в очередной раз когда перекроют ответы просты: .то ждут сухой погоды, то закупают материал, то вновь чего-то ожидают. Сметы, акты приёма-передачи или каких -либо отчётов не предоставлялось по сей день. Осложнено тем,что собираемся переходить в другую управляйку. А в этой дом чуть ли ни в минусах. Как привлечь управляйку к ответственности?! И заставить работать ,как обязаны. Плачу управляйку исправно.","Вы вправе подать исковое заявление о защите парв потребителей и требовать вызскать денежные средства, уплаченные в УК.

Также вправе написать жалобу в комитет ЖКХ, однако в настоящее время они откажут в проверке по причине эпидемиологической обстановки",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/kak-privlech-uk-k-otvetstvennosti
"Регион: [Россия](/regiony/rossiya) Здравствуйте!
Я находился в законном браке с 2001 г. В мае 2017 года по инициативе жены брак расторгнут. Однако после развода до настоящего времени мы проживаем совместно в частном доме, воспитываем общего ребенка-инвалида. Бывшая жена не работает и получает пенсию по инвалидности за ребенка и мои исправно выплачиваемые алименты на него.
Сейчас (через 3,5 года после развода) бывшая жена подала иск о разделе совместно нажитого имущества. Она хочет поделить денежные средства на банковских вкладах, образовавшиеся от моей трудовой деятельности в период после развода до настоящего времени.
Подскажите пожалуйста, являются ли денежные вклады в банке, открытые после развода, совместным имуществом, учитывая, что после развода мы с бывшей женой проживаем вместе, но не ведем совместное хозяйство?","Нет, после развода имущество не является совместно нажитым",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-ya-nahodilsya-v-zakonnom-brake-s-2001-g-v-mae
"Регион: [Россия](/regiony/rossiya) Здравствуйте, хочу предоставлять услуги дезинфектора, скажите, нужна ли лицензия на осуществления такого вида деятельности, т.к. в сети интернет описывается, что лицензия нужна в случае "" медицинского использования""",Вы хотите проводить работы в жилых или нежилых зданиях?,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-hochu-predostavlyat-uslugi-dezinfektora
"Регион: [Россия](/regiony/rossiya) Здравствуйте. На мне открыто несколько исполнительных производств по кредитам. Недвижимости на мне нет, машины тоже. Зарегестрирована в доме у родителей там же и проживаю. Моего имущества здесь фактически нет. 
Пристав мне звонит и говорит, чтобы я ее впустила, когда она приедет, иначе после четвертого раза, как я ее не впустила, она будет писать заявление в суд о принудительном вскрытии дверей. Законно ли все это?",составьте договор безвозмездного пользования и передайте приставу,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-na-mne-otkryto-neskolko-ispolnitelnyh
"Регион: [Россия](/regiony/rossiya) Добрый день! судебные приставы наложили арест на зарплатную карту. Снимают 50% от дохода. Но помимо этого снимают под ""0"" все поступления на карту. Писала заявление на уменьшение процента по исполнительному листу, отказали, об отказе сообщили в режиме телефонного разговора. Имею на иждевении 2-х несовершеннолетних детей и кредит в другом банке, который плачу. Подскажите, какие еще доводы и куда обратиться на бездействие и неправомерность.",Вы вправе обжаловать действия приставов в суде,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobryy-den-sudebnye-pristavy-nalozhili-arest-na-zarpl
"Регион: [Россия](/regiony/rossiya) Если подан иск на сумму, которая была оплачена до начала рассмотрения в суде, но после подачи иска. Должен ли ответчик оплатить судебные издержки истцу? Где это прописано?","п.11 Постановление Пленума ВАС РФ от 11.07.2014 N 46 ""О применении законодательства о государственной пошлине при рассмотрении дел в арбитражных судах""

Вместе с тем при прекращении производства по делу в связи с отказом истца (заявителя) от иска (заявления) следует учитывать, что государственная пошлина не возвращается, если установлено, что отказ связан с добровольным удовлетворением ответчиком (заинтересованным лицом) заявленных требований после подачи искового заявления (заявления) в арбитражный суд (абзац третий подпункта 3 пункта 1 статьи 333.40 НК РФ). 

В этом случае арбитражный суд должен рассмотреть вопрос об отнесении на ответчика (заинтересованное лицо) расходов по уплате государственной пошлины исходя из положений статьи 110 АПК РФ с учетом того, что заявленные в суд требования фактически удовлетворены.",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/esli-podan-isk-na-summu-kotoraya-byla-oplachena-do-nachal
"Регион: [Россия](/regiony/rossiya) Предприятие временно не работает, работники находятся в отпусках. Должно ли оно платить налоги?","Налоги уплачиваются при ведении деятельности или по фактическому времени если предприятие является плательщиком ЕНВД и ПСН, однако уплачиваются взносы за сотрудников",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/predpriyatie-vremenno-ne-rabotaet-rabotniki-nahodyatsya
"Регион: [Россия](/regiony/rossiya) Добрый день.Я гражданин Литвы,живу в Литве,родился в Латвиив 1966году.Свидетельство о рождении было утерянно,необходимо получить дубликат.Как это сделать?Благодарю",Обратитесь в местную администрацию где вы родились,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/dobryy-denya-grazhdanin-litvyzhivu-v-litverodilsya-v-la
"Регион: [Россия](/regiony/rossiya) Здравствуйте. Есть двухкомнатная квартира (18+13). Квартира приватизирована на мать и взрослого сына в равных долях. Скажите, пожалуйста, возможно ли сегодня законным порядком:
1) Разделить лицевой счет
2) После раздела продать свою часть квартиры
если один из собственников категорически против раздела, а совместная жизнь стала невозможной? Спасибо заранее.","Разделить можете

Также и продать, но сначала должны предложить купить второму собственнику",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/zdravstvuyte-est-dvuhkomnatnaya-kvartira-1813-kvarti
"Регион: [Россия](/regiony/rossiya) Доброго времени суток,
Скажите, я постоянно живу за рубежом, утратил налоговое резиденство России, продал квартиру в РФ и не имею прописки. В РФ планирую бывать раз в год, на неделю, навестить родственников. Могут ли у меня возникнуть проблемы при их посещении?
Спасибо!",Только если у вас будет иметься задолженность на территории РФ в службе судебных приставов,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/obyazatelna-li-propiska-dlya-grazhdanina-rf-zhivushchego-za-rubezhom
"Регион: [Россия](/regiony/rossiya) Тмеется диагноз расщелины губы, но инвалидность не устанавливают","Согласно вашей информации вы ссылаетесь на следующий пункт:

-при врожденных, наследственных пороках развития челюстно-лицевой области со стойкими выраженными и значительно выраженными нарушениями функции пищеварительной системы, нарушениями языковых и речевых функций в период проведения многоэтапных сложных видов реабилитации, в том числе при первичном освидетельствовании детей с врожденной полной расщелиной губы, твердого и мягкого неба;

Согласно выписного эпикриза:

-рекомендованы мероприятия в течение 6 месяцев,

Информации о стойких нарушениях нет, поэтому, в том числе вы получали отказные решения.

Главным аргументом для суда является решение(справка) МСЭ об отказе в установлении инвалидности. Сам факт наличия диагноза не предопределяет установление группы инвалидности и не является для суда основанием для признания решения комиссии недействительным, поскольку важна степень выраженности осложнений заболевания. Поскольку суд не обладает специальными познаниями в области медицины, по делу дополнительно назначается судебная МСЭ, она как правило подтверждает выводы предыдущей экспертизы об отсутствии оснований для установления инвалидности. Суд проверяет соблюден ли действующий порядок установления инвалидности, проведено ли исследование в соответствии с требованиями законодательства.

ДЛЯ ОСПАРИВАНИЯ ВЫВОДОВ ЭКСПЕРТИЗЫ НЕОБХОДИМО ЗАЯВЛЯТЬ О ПРОВЕДЕНИИ СУДЕБНОЙ ЭКСПЕРТИЗЫ, ВЫДЕРЖКА ИЗ СУДА:

«Вместе с тем, ходатайства о назначении по делу судебной медико-социальной экспертизы истец не заявлял»

Суды также указывают, что приводимые доводы и возражения (не в полном объеме изучены медицинские документы, ошибочно сделан вывод о степени и т.д.), не могут быть признаны судом обоснованными, поскольку сводятся к несогласию с заключением экспертизы, которым опровергается существо исковых требований. Вместе с тем заключение экспертизы в полной мере соответствует требованиям закона, при этом экспертами исследована вся медицинская документация, содержание которой приведено в заключении, получило научно-обоснованную оценку.

Отказные решения: Решение Вахитовский районного суда Республики Татарстанот 14 июня 2016 г. по делу № 2-3742/2016; Решение Федерального суда Советского района г.Махачкалыот 19 марта 2019 г. по делу № 2-4257/2018; Решение Ленинского районного суда г.Тамбоваот 23 декабря 2019 г. по делу № 2-1747/2019; Решение Центрального районного суда г. Воронежаот 22 января 2020 г. по делу № 2-3917/2019.

Пример решения, где удалось отменить решение и отправить дело на новое рассмотрение.

Кассационное определение от 18 мая 2011 г. по делу № 33-1478Судебной коллегии по гражданским делам Верховного суда Республики Дагестан– истец обратилась в суд о признании недействительным решения филиала №24 МСЭ о лишении несовершеннолетней категории «ребенок - инвалид» (ребенок истца является инвалидом с детства. У нее врожденная расщелина верхней губы и неба, которая сопровождается выраженными отклонениями в развитии средней зоны лица и нарушением функции глотания, жевания, внешнего дыхания, речевой артикуляции, и она трижды подвергалась хирургическим операциям).

Суд первой и апелляционной инстанции решение об отсутствии основания для установления инвалидности поддержали. Аргументом судей было следующее: поскольку для разрешения вопроса о наличии или отсутствии оснований для признания лица инвалидом необходимо обладать специальными познаниями, по делу назначена судебная медико-социальная экспертиза. Согласно поступившему в адрес суда заключению медико-социальной экспертизы оснований для установления категории «ребёнок- инвалид» не имеется.Каких-либо оснований сомневаться в выводах указанной экспертизы судом не установлено.

Суд кассационной инстанции решение отменил в связи со следующим: ссылаясь на решения главного бюро МСЭ по РД и Федерального бюро МСЭ России, суд не истребовал решения вышеуказанных бюро по результатам проведенных в отношении ребенка медико-социальных экспертиз, не исследовал их, не проверил на предмет соответствия установленному порядку принятия и оформления этих актов, всесторонности и мотивированности содержащихся в них выводов. Вышеизложенное свидетельствует о недоказанности установленных судом первой инстанции обстоятельств, имеющих значение для дела, в связи с чем состоявшееся по делу решение не может быть признано законным и обоснованным и подлежит отмене.

 

ВЫВОД: необходимо получить документы от лечебного врача о проведении обязательных операций и реабилитации, а также о подтверждении нарушений функций пищеварительной системы.

Если в настоящее время будете обращаться в суд, то необходимо назначать судебную экспертизу.

 

 

ПРИМЕРЫ ИЗ РЕШЕНИЙ СУДОВ:

-<https://sudact.ru/regular/doc/yPm6BNlzSnlT/>",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/mozhno-li-obzhalovat-reshenie-ob-otkaze-v-priznanii-invalidnosti
