bugurt,prompt
"ТЫ 40 ЛЕТНИЙ ПЕТР С ЧЕЛЯБИНСКОГО ЗАВОДА  
@  
С НЕДАВНИХ ПОР В ТВОЮ ДВУХКОМНАТНУЮ КВАРТИРУ С 3 ДЕТЬМИ ПРОВЕЛИ ИНТЕРНЕТ  
@  
СПУСТЯ МЕСЯЦ ПОПЫТОК ВКЛЮЧИТЬ КОМПЬЮТЕР К ТЕБЕ ПРИЕХАЛ ТВОЙ СТАРШИЙ СЫН  
@  
ОН ПОКАЗАЛ ТЕБЕ КАК ПОЛЬЗОВАТЬСЯ КОМПЬЮТЕРОМ И ЗАРЕГИСТРИРОВАЛ ТЕБЯ В ОДНОКЛАССНИКАХ  
@  
ТЫ НАШЕЛ СВОИХ СТАРЫХ ЗНАКОМЫХ  
@  
ВЫ ДОБАВИЛИ ДРУГ ДРУГА В ДРУЗЬЯ И НАЧАЛИ ОБЩАТЬСЯ  
@  
ВРЕМЯ ШЛО, ТЫ ПРИВЫК К СВОЕЙ ЛЮБИМОЙ СОЦ.СЕТИ  
@  
12 АПРЕЛЯ 2014 ГОДА  
@  
ТЫ КАК ОБЫЧНО ЗАШЁЛ В ОДНОКЛАССНИКИ ЧТОБЫ ПОСМОТРЕТЬ СВОЮ ЛЕНТУ  
@  
ВИДИШЬ, ЧТО ТВОЙ ДРУГ ВАСИЛИЙ ОПУБЛИКОВАЛ НА СВОЕЙ СТРАНИЦЕ СМЕШНОЕ ВИДЕО С КИТАЙЦАМИ  
@  
ТЕБЕ ОЧЕНЬ ПОНРАВИЛОСЬ ЭТО ВИДЕО  
@  
ТЫ ПОСТАВИЛ КЛАСС И РЕШИЛ ОПУБЛИКОВАТЬ ЭТО ВИДЕО НА СВОЕЙ СТРАНИЦЕ  
@  
ОНО НАБРАЛО БОЛЬШЕ КЛАССОВ ЧЕМ У ВАСИЛИЯ  
@  
ЧЕПУХА  
@  
СПУСТЯ НЕСКОЛЬКО ЧАСОВ ТВОЙ ДРУГ ВАСИЛИЙ НАПОМНИЛ ЧТО У НЕГО СЕГОДНЯ ЮБИЛЕЙ И ПОПРОСИЛ ПРИЕХАТЬ ОТМЕТИТЬ  
@  
ТАКЖЕ ОН УТОЧНИЛ, ЧТО ЗАСТОЛЬЕ ПРОВОДИТСЯ У НЕГО ЗА ГОРОДОМ НА ДАЧЕ  
@  
ТЫ НАДЕЛ СВОЮ ПАРАДНУЮ ФОРМУ (КЛЕТЧАТАЯ РУБАШКА, ФУРАЖКА ИЗ 90-Х И КОЖАНЫЕ САПОГИ)  
@  
ПОСЛЕ ЧЕГО ОТПРАВИЛСЯ К НЕМУ НА ДАЧУ  
@  
НА МЕСТЕ ТЕБЯ ЖДАЛА ЛЮБОВЬ АЛЕКСАНДРОВНА  
@  
ОНА ПРОВОДИЛА ТЕБЯ В ДОМ ГДЕ ТЕБЯ ЖДАЛ ТВОЙ ДРУГ  
@  
ТЫ ЗАМЕТИЛ, ЧТО НИКОГО КРОМЕ ЕГО СЕМЬИ В ДОМЕ НЕТУ  
@  
ТЫ ПОИНТЕРЕСОВАЛСЯ, ПОЧЕМУ ТАК  
@  
""ПОКА ТЫ ЕХАЛ ВСЕ ГОСТИ ОТПРАВИЛИСЬ ПО ДОМАМ, ПРИСАЖИВАЙСЯ, ВЫПЬЕМ ПО СТАРОЙ ДРУЖБЕ""  
@  
НА УДИВЛЕНИЕ, ЕГО ЖЕНА НЕ БЫЛА ПРОТИВ  
@  
ВЫ ПРОСИДЕЛИ ЗА СТОЛОМ, ПОГОВОРИЛИ О ЖИЗНИ  
@  
ТЫ ДАЖЕ НЕ ЗАМЕТИЛ ЧТО ПОТЕРЯЛ СОЗНАНИЕ  
@  
ТЫ ПРОСНУЛСЯ В СЫРОМ ГАРАЖЕ СО СЛОМАННЫМ НОСОМ  
@  
РЯДОМ СТОЯЛ ВАСИЛИЙ С СЕРЬЁЗНЫМ ВЗГЛЯДОМ  
@  
""ТЫ ВЕДЬ ПОМНИШЬ, ЧТО ТВОЕ ВИДЕО НАБРАЛО БОЛЬШЕ КЛАССОВ""  
@  
ТЫ С ПОХМЕЛЬЯ НЕ МОЖЕШЬ ВСПОМНИТЬ НИЧЕГО И ПОНЯТЬ ЧТО ПРОИСХОДИТ ВПРИНЦИПЕ  
@  
""ДА ПЕТР, РАЗОЧАРОВАЛ ТЫ МЕНЯ, ТАКИХ КАК ТЫ НАДО НАКАЗЫВАТЬ..""  
@  
ПОСЛЕ ЭТИХ СЛОВ, ВАСИЛИЙ ПОМЕСТИЛ ТЕБЯ В СТАРУЮ НИВУ  
@  
ПОКА ОН ПЫТАЛСЯ ЗАВЕСТИ ЕЕ, ТЫ ЗАМЕТИЛ НАДПИСЬ НА КАНИСТРЕ  
@  
""C2H5OH""  
@  
НЕУЖЕЛИ ОН ЗАПРАВИЛ НИВУ СПИРТОМ, ВО ДУРАК  
@  
НЕ УСПЕВ ВЫДОХНУТЬ, ТЫ ЗАМЕТИЛ, ЧТО ВРЕМЯ ВОКРУГ ТЕБЯ ОСТАНОВИЛОСЬ  
@  
""НЕ МОЖЕТ БЫТЬ""  
@  
НО ВСЕ БЫЛО ИМЕННО ТАК, НИВА ДОСТИГЛА СКОРОСТИ СВЕТА, И ВРЕМЯ ДЛЯ ТЕБЯ ОСТАНОВИЛОСЬ  
@  
НО ВДРУГ ПРОИЗОШЛО НЕВИДАННОЕ  
@  
ВСЕ ДЕЙСТВИЯ НАЧАЛИ ПРОИСХОДИТЬ В ОБРАТНОМ ПОРЯДКЕ  
@  
ТЫ УВИДЕЛ КАК ТЕБЯ ТАЩИТ В ГАРАЖ ВАСИЛИЙ  
@  
КАК ВЫ ПЬЕТЕ, КАК ТЫ ЕДЕШЬ К НИМ НА ДАЧУ  
@  
ВРЕМЯ ПОШЛО ВСПЯТЬ  
@  
И ТУТ, У НИВЫ ЗАКОНЧИЛСЯ БЕНЗИН  
@  
ПОДУМАВ, ТЫ ПОНЯЛ ЧТО ЧЕЛЯБИНСКИЙ ВОЗДУХ ПОПАЛ В ДВИГАТЕЛЬ И СМЕШАЛСЯ С БЕНЗИНОМ  
@  
ИМЕННО ЭТА СМЕСЬ СМОГЛА ОБОГНАТЬ СКОРОСТЬ СВЕТА  
@  
СПАСИБО ЧЕЛОВЕЧЕСТВО!  
@  
ТЫ РЕШИЛ СПРОСИТЬ У ПРОХОЖИХ ДАТУ, ВСЕ ОНИ СМОТРЕЛИ НА ТЕБЯ КАК НА ДУРАКА  
@  
НО ОДИН ЧЕЛОВЕК РЕШИЛ ТЕБЕ ОТВЕТИТЬ  
@  
""12 АПРЕЛЯ 2014 ГОДА""  
@  
ТЫ ПОНЯЛ, ЧТО ЭТО ТВОЙ ШАНС  
@  
ТЫ НА ВСЕХ СКОРОСТЯХ ПОБЕЖАЛ В СВОЙ ДОМ И РЕШИЛ ОСТАНОВИТЬ СЕБЯ ИЗ ПРОШЛОГО  
@  
ТЫ ИЗБАВИЛСЯ ОТ СВОЕГО ДВОЙНИКА   
@  
ВЕЧЕРОМ ЖЕНА СПРОСИЛА У ТЕБЯ ПОЧЕМУ ТЫ ТАКОЙ СЕРЬЕЗНЫЙ  
@  
""ДА ТАК, МЕЛОЧИ..""  
  
#АНТИБУГУРТ",
"ЗАХОДИШЬ ВМЕСТЕ С ТЯН В ЛИФТ  
@  
ожидание  
@  
МИЛО СТОИТЕ КРАСНЕЕТЕ И СМУЩАЯСЬ ПОГОЯДЫВАЕТЕ ДРУГ НА ДРУГА  
@  
реальность  
@  
ПОЛУЧАЕШЬ ПЕРЦОВКОЙ В ЕБАЛО НЕ СМОТРЯ НА ТО ЧТО НАХОДИТЕСЬ В ЗАМКНУТЫХ ДВУХ КВАДРАТНЫХ МЕТРАХ  
@  
ЖИДКО ОБОСРАВШИСЬ ОБА ПАДАЕТЕ БЕЗ СОЗНАНИЯ И МИЛО ЛЕЖИТЕ В ОБНИМКУ  
@  
#антибугурт",
"ВСЮ ЖИЗНЬ ПИШЕШЬ ПЕРВЫЙ, ВСЕ ОБЩЕНИЕ ВСЕГДА ДЕРЖИТСЯ ТОЛЬКО НА ТЕБЕ, НО ТЫ НЕ ОСОЗНАЕШЬ ЭТО  
@  
ТВОИ ""ДРУЗЬЯ"" НАЗЫВАЮТ ТЕБЯ БРАТОМ И ГОВОРЯТ ЧТО ТЫ ОХУЕННЫЙ ЧУВАК  
@  
В ОДИН МОМЕНТ ТЫ ОСОЗНАЕШЬ ЧТО ТВОИ ""ДРУЗЬЯ"" НЕ ВКЛАДЫВАЮТСЯ В ОБЩЕНИЕ ОТ СЛОВА СОВСЕМ, ТЫ ЛИСТАЕШЬ ПЕРЕПИСКИ И ВИДИШЬ ЧТО ОНИ ВСЕГДА ВЫСИРАЮТ КОРОТКИЕ ОДНОСЛОЖНЫЕ ОТВЕТЫ  
@  
ПЕРЕСТАЕШЬ ПИСАТЬ ПЕРВЫМ И УНИЖАТЬСЯ  
@  
ПРОХОДИТ ДЕНЬ, ДВА, ТРИ - ВСЕ ТВОИ ""ДРУЗЬЯ"" ИСПАРИЛИСЬ, БУДТО ИХ И НЕ БЫЛО НИКОГДА, ТЕБЕ НИКТО НЕ НАПИСАЛ ЗА ЭТО ВРЕМЯ НИ РАЗУ  
@  
НАСТУПАЕТ ДЕНЬ ТВОЕГО РОЖДЕНИЯ  
@  
НИКТО НЕ ПОЗДРАВИЛ  
@  
ПОДГОРАЕТ ЖОПА И УДАЛЯЕШЬСЯ ИЗ ВСЕХ СОЦ СЕТЕЙ И ВООБЩЕ ИЗ СОЦИАЛЬНОГО ИНТЕРНЕТА ОСОЗНАВ КАКОЕ ЛЮДИ ХИТРОВЫЕБАННОЕ НОРМИСНОЕ ГОВНО  
@  
ПОНИМАЕШЬ ПОЧЕМУ ОНИ ТЕБЯ НАЗЫВАЛИ БРАТОМ И ОХУЕННЫМ ЧЕЛОМ, ПОТОМУ ЧТО ТАКОГО КАК Я НАДО ЕЩЕ ПОИСКАТЬ, Я ПЕРВЫЙ НАПИШУ, ЗАДАМ ТЕМУ ДЛЯ РАЗГОВОРА , ПОДДЕРЖУ, ПОМОГУ И Т.Д.. НОРМИГОВНО ОХУЕННО УСТРОИЛОСЬ",
"БАТЯ РЕШИЛ ПРИГОТОВИТЬ МЕЛКОМУ ТЕБЕ МОРС  
@  
ДОСТАЁТ НЕСКОЛЬКО КИЛО ЗАМОРОЖЕННОЙ ЕЩЁ С ДАННЫЕ УДАЛЕНЫ ОБЛЕПИХИ  
@  
НАБИВАЕТ ЕЮ ДО КРАЁВ КРУЖКИ АЖ С ГОРОЧКОЙ  
@  
БЕРЁТ ТОЛКУШКУ КОТОРОЙ ЕЩЁ ЗАБИВАЛИ НЕМЦЕВ СОРОК ПЯТОМ  
@  
БАТЯ РАСТАЛКИВАЕТ ЯГОДУ ДО СОСТОЯНИЯ ЧЁРНОЙ ДЫРЫ  
@  
И КАПАЕТ ОДИН МИЛЛИГРАММ КИПЯТКА  
@  
САХАР НЕ КЛАДЁТ, ИБО МУЖИКИ ПЬЮТ БЕЗ САХАРА  
@  
ВЫПИВАЕШЬ ОДНИМ ГЛОТКОМ ЯДРЁНЫЙ МОРС БАТИ   
@  
БАТЯ ОДОБРИТЕЛЬНО КИВАЕТ  
@  
ВСЁ ЛИЦО СВОДИТ СУДОРОГОЙ ОТ КИСЛОТНОСТИ  
@  
ВРЕМЯ ВОКРУГ ТЕБЯ ЗАМЕДЛЯЕТСЯ  
@  
НАЧИНАЕШЬ ЧУВСТВОВАТЬ СТРАННУЮ АУРУ ВОКРУГ СЕБЯ  
@  
ТВОИ ЧАКРЫ НАПОЛНЯЮТСЯ  
ЦИ, МАНОЙ, КИ, РЕАЦУ, ДУХОВНОЙ СИЛОЙ, ЭНЕРГИЕЙ КОСМОСА И ДАННЫЕ УДАЛЕНЫ  
@  
С НОВООБРЕТЁННОЙ СИЛОЙ ИДЁШЬ КОПАТЬ ОГОРОД ПО ВЕЛЕНИЮ БАТИ",
"ЗАХОДИШЬ В РАЗДЕЛ ""ДЛЯ ВАС""  
@  
КЛИПЫ ВК, УБОГИЙ ФОРМАТ ЗАПИСЕЙ, НИ ОДНОГО СООБЩЕСТВА ПО ИНТЕРЕСАМ  
@  
РЕШАЕШЬ ЗАЙТИ В СВОИ ЛЮБИМЫЕ ПАБЛИКЕ ВО ВКЛАДКЕ ""СООБЩЕСТВА""  
@  
РАЗДЕЛ С ТВОИМИ ПАБЛИКАМИ ПЕРЕКОСОËБИЛО, ЗАТО ДОБАВИЛСЯ ""ВЫБОР ЗВЁЗД""  
@  
ВЕДЬ ТЕБЕ ТАК ВАЖНО НА ЧТО ПОДПИСАНЫ БЕЛОРУССКИЕ РЭПЕРЫ ИЛИ ЛЮБОЙ ДРУГОЙ КАЛ НА 808 БАРАБАНАХ И АВТОТЮНЕ НАХУЙ",
"ОТ СОПЛЕЙ ПОМРЕТ ГОРШОК  
@  
ОТ СОПЛЕЙ  
@  
ОТ СОПЛЕЙ  
@  
ОТ СОПЛЕЙ ПОМРЕТ ГОРШОК",
"ЭЙ ВЫ ТРОЕ!  
@  
ОБА КО МНЕ  
@  
@  
@  
ВСТАЛ В СТРОЙ  
@  
КАК ХУЙ СТОЙ  
@  
@  
@  
КОПАТЬ ПОКА ЗДЕСЬ  
@  
А Я ПОЙДУ УЗНАЮ, ГДЕ НАДО  
@  
@  
@  
НАДО ПОНИМАТЬ ВСЮ ГЛУБИНУ НАШИХ ГЛУБИН  
@  
@  
@  
АРМИЯ ЭТО ТО МЕСТО, ГДЕ ИЗ НАСТОЯЩИХ МУЖЧИН ДЕЛАЮТ КОГО?  
@  
или не так?...  
@  
@  
@  
ЗДЕСЬ ВАМ НЕ ТУТ!  
@  
ЭТО ВАМ НЕ ЭТО  
@  
@  
@  
КОМПЛЕКС ВОЛЬНЫХ УПРАЖНЕНИЙ №1  
@  
НА 16 СЧЕТОВ  
 @  
ДЕЛАТЬ НАЧИ-  
@   
-НАЙ",
"ПРОГОВАРИВАЕШЬСЯ О ДРУЖЕСКИХ ОТНОШЕНИЯХ С ДЕВОЧКОЙ  
@  
КАЖДЫЙ РАЗГОВОР С СЕМЬЕЙ НАЧИНАЕТСЯ С ""НУ КАК ТАМ ТВОЯ КРАСАВИЦА""?   
@  
ПРИЕЗЖАЕТ ТËТЯ СРАКА С ДЯДЕЙ БОЛЬЖЕДОРОМ НА МАЙСКИЕ  
@  
ТЕПЕРЬ ЭТИХ ВОПРОСОВ СТАНОВИТСЯ БОЛЬШЕ",
"НЕ ПРИНОСИШЬ НИКАКОЙ ПОЛЬЗЫ В ДОМЕ  
@  
ЦЕЛЫЙ ДЕНЬ ТОЛЬКО И ДЕЛАЕШЬ, ЧТО СПИШЬ  
@  
ЦЕЛУЮ НОЧЬ ТОЛЬКО И ДЕЛАЕШЬ, ЧТО БЕГАЕШЬ ПО ДОМУ  
@  
НЕИСТОВО ОРЁШЬ ПОКА ТЕБЕ НЕ ДАДУТ ПОЖРАТЬ  
@  
ЦАРАПАЕШЬСЯ И КУСАЕШЬСЯ ПРОСТО ПОТОМУ ЧТО МОЖЕШЬ  
@  
СРЁШЬ И ССЫШЬ В ТАПКИ  
@  
ТЕБЯ ВСЕ ЛЮБЯТ",
"ТЫ ОБЫЧНЫЙ ДРЕВНИЙ РУС ДОБРОСЛАВ СВЯТОПОЛКОВИЧ ТРЕХСОТОГО ДО СОТВОРЕНИЯ МИРА В ЗВЁЗДНОМ ХРАМЕ ГОДА РОЖДЕНИЯ  
@  
СПОКОЙНО ЖИВЕШЬ В СВОЕМ СЕЛЕ ВОЗЛЕ ОЗЕРА БАЙКАЛ, РАЗВОДИШЬ ПТЕРОДАКТИЛЕЙ, ДА БОРЕШЬСЯ С МЕДВЕДЯМИ  
@  
НО ТУТ НА ВАШУ СТРАНУ НАПАДАЮТ ЯЩЕРЫ  
@  
ТЕБЯ КАК И ВСЕХ ОСТАЛЬНЫХ МУЖЧИН ПРИЗЫВАЮТ В ДРУЖИНУ ЗАЩИЩАТЬ СТРАНУ   
@  
ТВОЙ КОМАНДИР КАЗИМИР ДОБРОСЛАВОВИЧ ОТЛИЧНЫЙ ВОИН И ЛИДЕР  
@  
ЛИХО ОТБИВАЕТЕ АТАКИ ЯЩЕРОВ В ТУВЕ  
@  
НО КОВАРНЫЕ ЯЩЕРЫ СХВАТИЛИ КАЗИМИРА И ОБЕЗГЛАВИЛИ  
@  
РАЗЪЯРЁННЫЕ,ВЫ ПРОСИТЕ ПОМОЩИ У ПЕРУНА ДЛЯ ТОГО,ЧТОБЫ ОТОМСТИТЬ ЯЩЕРАМ  
@  
ПЕРУН ГОВОРИТ ЧТО ДАЕТ ДОБРО  
@  
ВАША ДРУЖИНА В ХОДЕ ТЯЖЁЛОГО БОЯ ВЫРЕЗАЕТ ТРИДЦАТЬ ТЫСЯЧ ЯЩЕРОВ   
@  
ПРЕИСПОЛНЕННЫЕ ВЕЛИКОЙ УСТАЛОСТЬЮ ВЫ НАКОНЕЦ-ТО ОДЕРЖИВАЕТЕ ПОБЕДУ НАД ЯЩЕРАМИ И ИЗГОНЯЕТЕ ИХ С ЗЕМЛИ РУССКОЙ  
@  
О ВАШЕЙ ВЕЛИКОЙ ПОБЕДЕ СЛАГАЮТ ЛЕГЕНДЫ   
@  
ВЕСЬ МИР ОТ АТЛАНТИДЫ ДО АРИМИИ ВОСХИЩАЕТСЯ ВАШИМИ ПОДВИГАМИ   
@  
9000 ЛЕТ СПУСТЯ   
@  
АХАХАХАХАХАХАА ПОДВИГИ ДРЕВНИХ РУСОВ В ВОЙНЕ С ЯЩЕРАМИ ПОД ФОНК",
"ДРАКА СЫЧА И ЕРОХИ ЗА ШКОЛОЙ  
@  
ПЕРВЫМ БЬЕТ СЫЧ  
@  
ОТ УДАРА В КРЕПКИЙ ЕРОХИН ГРУДАК ЛОМАЮТСЯ КОСТИ  
@  
ФАЛАНГ ПАЛЬЦЕВ  
@  
ПЯСТНАЯ  
@  
ПОТРЯСНАЯ  
@  
ПЛЕЧЕВАЯ  
@  
ЛОКТЕВАЯ  
@  
ЛУЧЕВАЯ  
@  
МОЧЕВАЯ  
@  
ПАКЕТ ЧАЯ  
@  
ВОРОТА РАЯ  
@  
КАЛЕНДАРЬ МАЙЯ  
@  
И ДВА САРАЯ  
@  
ЕРОХА НАКЛОНЯЕТСЯ ЗАВЯЗАТЬ ШНУРКИ НА СЛАНЦАХ  
@  
СЛУЧАЙНЫЙ УДАР ГОЛОВОЙ В ЛИЦО ВЫБИВАЕТ ИЗ СЫЧА СОЗНАНИЕ  
@  
КАРМАННЫЕ ДЕНЬГИ НА ГОД ВПЕРЁД  
@  
ДВА ЛИТРА ПОДЛИВЫ  
@  
ДЕВСТВЕННОСТЬ  
@  
И ТЕЛЕФОННЫЙ НОМЕР ЕГО МАМКИ",
"ПРОИСХОДИТ ЧТО-ТО НЕСТАНДАРТНОЕ И НЕГАТИВНОЕ  
@   
ПРИВОДИШЬ МЫСЛИ В ПОРЯДОК, БЛОКИРУЕШЬ ЭМОЦИИ, ПЫТАЕШЬСЯ ДУМАТЬ  
@   
ЖЕНЩИНЫ РЯДОМ НАЧИНАЮТ ИСТОШНО КРИЧАТЬ, ПАНИКОВАТЬ И ПЛАКАТЬ  
@   
ЗУДЯТ НАД УХОМ, МЕШАЮТ СОСРЕДОТОЧИТЬСЯ",
"ТЫ СЫЧ СТУДЕНТ  
@  
ПАРА ПО \*предмет\_нейм\*  
@  
ПО ОЩУЩЕНИЕМ ПРОШЛА ВЕЧНОСТЬ  
@  
-СЫЧУНОВ  
@  
ОРЁТ ПРЕПОД ТЕБЕ  
@  
НАЧИНАЕТ ОРАТЬ ЕЩЁ ГРОМЧЕ ГОВОРЯ КАКОЙ ТЫ БЕЗДАРЬ И СЫЧ  
@  
ЕРОХА ЗАХОДИТ ЗА 5 МИНУТ ДО КОНЦА ПАРЫ  
@   
-ПЯТЬ АВТОМАТОМ ЕРОХИНУ, А СЫЧУНОВ ОТЧИСЛЕН  
@  
ВТОРАЯ НОБЕЛЕВКА ЗА ИССЛЕДОВАНИЕ АНДРОМЕДЫ УЖЕ НИЧЕМУ, НО ПУСТЬ ПОЛЕЖИТ",
"КОНЕЦ АПРЕЛЯ. СИБИРЬ.   
@  
ПОТИРАЕШЬ РУЧКИ, ВЕДЬ СКОРО БУДЕШЬ ЖАРИТЬ ШАШЛЫКИ  
@  
ЕХИДНЫЙ БОРОДАТЫЙ МУЖИК НА НЕБЕСАХ ТАК НЕ ДУМАЕТ  
@  
КОНЕЦ АПРЕЛЯ. СИБИРЬ. МЕТЕЛИ",
"ПОШЕЛ ВЕЧЕРОМ В ПОЛЯ ПОД СЕЛОМ НАСЛАЖДАТЬСЯ ЗАКАТОМ В СТЕПИ  
@  
ЗАБРЕЛ В ЕБЕНЯ, ГДЕ РАНЬШЕ НИКОГДА НЕ БЫЛ, НО С КРАСИВЫМ ВИДОМ  
@  
ВИДИШЬ ПРИПАРКОВАНУЮ МАШИНУ, У КОТОРОЙ СВЕТЯТСЯ ФАРЫ  
@  
В СТЕКЛЕ ПЕРЕСЕКАЕШЬСЯ ВЗГЛЯДОМ С ВОДИТЕЛЕЙ И ДЕВУШКОЙ ЛЕТ 18   
@  
БЕЗ СЛОВ ПОНИМАЕШЬ , ЧТО ОНИ ЯВНО ХОТЕЛИ УЕДИНИТЬСЯ, А ТЫ ИМ ПОМЕШАЛ  
@  
БЫСТРО ДЕЛАЕШЬ ФОТКУ И УХОДИШЬ, ВЕДЬ У ТЕБЯ НЕТ ЦЕЛИ ПОРТИТЬ ЛЮДЯМ ВЕЧЕР",
"ТЫ СЫЧОНОК 15 ЛВЛ  
@   
ПОЛУЧАЕШЬ ПАРУ ЗА ВАЖНУЮ КОНТРОЛЬНУЮ ПО МАТЕШЕ  
@   
НА ЭТОЙ НЕДЕЛЕ У ВАС В ШКОЛЕ ПРОХОДИТ КЛАССНЫЙ ЧАС, ВЫ С ЛЕМАМАН СИДИТЕ ЗА ОДНОЙ ПАРТОЙ И СЛУШАЕТЕ, КАК ЕПИВСТАФИЯ ГОВНОВНА, ВАША КЛАССУХА, ПО ОЧЕРЕДИ РАЗЬЕБЫВАЕТ ТВОИХ ОДНОКЛАСНИКОВ  
@   
И ВОТ НАСТАЛ ТВОЙ ЧЕРЕД И ЕПИВСТАВИЯ ГОВНОВНА СМОТРИТ В ЖУРНАЛ, А ЗАТЕМ ПРОИЗНОСИТ, ""УЧИТСЯ СЛАВКА СРЕДНЕНЬКО, НО ВОТ ПОСЛЕДНЯЯ ДВОЙКА ЭТО ОЧЕНЬ СЕРЬЕЗНО, ВЕДЬ КАК НИ КАК, ПРЕДЧЕТВЕРТНАЯ ПЕРЕПРОВЕРОЧНАЯ БЫЛА""  
@   
ТЫ СИДИШЬ РЯДОМ И ЛОВИШЬ ЗЛОБНЫЙ ВЗГЛЯД ЛЕМАМАН  
@   
ВЫ МОЛЧА ИДЕТЕ ПО КОРИДОРАМ ШКОЛЫ И ВЫХОДИТЕ НА УЛИЦУ  
@   
ВЫХОДИТЕ ЗА ТЕРРИТОРИЮ ШКОЛЫ  
@   
ТЫ УЖЕ ПРЕДСТАВЛЯЕШЬ, КАК ТЕБЕ ВЛЕТИТ ДОМА  
@   
И ТУТ ЛЕМАМАН НАЧИНАЕТ ПРОТЯЖНО НИЗКИМ ГОЛОСОМ ЗАПЕВАТЬ ""КУУУУУУУУУДАААААААААХТЕЕЕЕЕЕЕЕЕРУУУУУУУ АААААААААНАААААААФЕЕЕЕЕЕЕЕЕЕЕМААААААААА""  
@   
ВСЕ ПРОХОДЯЩИЕ МИМО ЛЮДИ НАЧИНАЮТ ОСТОНАВЛИВАТЬСЯ И ТАК ЖЕ ПРОТЯЖНО ТЯНУТЬ ""АААААААААНАААААААФЕЕЕЕЕЕЕЕЕЕЕЕМААААААААА""  
@   
ВСЕ БОЛЬШЕ ГОЛОСОВ ПОДХВАТЫВАЕТ ХОРОВОЕ ПЕНИЕ  
@   
НАЧИНАЮТ БИТЬ КОЛОКОЛА  
@   
ЛЮДИ БЕРУТСЯ ЗА РУКИ И НАЧИНАЮТ ВОДИТЬ ВОКРУГ ТЕБЯ ОГРОМНЫЙ ХОРОВОД ПРОТЯЖНО ЗАПЕВАЯ ""ПОООООЗООООООР, ПООООООЗООООООР, ПООООООЗООООООР""  
@   
С КАЖДОЙ СЕКУНДОЙ ИХ ВСЕ БОЛЬШЕ, БЕЖАТЬ БЕСПОЛЕЗНО  
@   
ОБЛАКА НА НЕБЕ СОБИРАЮТСЯ В ОГРОМНОЕ ЛИЦО, ЧТО СМОТРИТ НА ТЕБЯ С ОСУЖДЕНИЕМ   
@   
И ВДРУГ ВСЕ РАЗОМ СТИХАЕТ, ТИШИНА ТАКАЯ, ЧТО ТЫ СЛЫШИШЬ, КАК В ВИСКАХ ПУЛЬСИРУЕТ КРОВЬ  
@   
ГОЛОС ЛЕ МАМАН РАЗДАЕТСЯ В ПОЛНОЙ ТИШИНЕ ""КУУУУУУУУУДАААААААААХТЕЕЕЕЕЕЕЕЕРУУУУУУУ АААААААААНАААААААФЕЕЕЕЕЕЕЕЕЕМААААААААА""  
@   
ПРОШЛО МНОГО ЛЕТ, ТЫ ВОЗВРАЩАЕШЬСЯ ДОМОЙ С РАБОТЫ И ПРОХОДИШЬ МИМО ШКОЛЫ  
@   
ВНЕЗАПНО ДО ТВОЕГО СЛУХА ДОНОСИТСЯ ""КУУУУУУУУУДАААААААААХТЕЕЕЕЕЕЕЕЕРУУУУУУУ АААААААААНАААААААФЕЕЕЕЕЕЕЕЕМААААААААА"", ЛОВИШЬ ПРИСТУП ПТСР И ОБЛИВАЯСЬ ПОТОМ УБЕГАЕШЬ ПРОЧЬ...",
"ТЫ СЫЧ-КОТАН  
@  
ЖРЕШЬ ТОЛЬКО ТО ЧТО ДАЮТ  
@  
24/7 СИДИШЬ ДОМА  
@  
УНЫЛО СРЕШЬ СИДЯ НА СВОЕМ ГОВНЕ И МОЧЕ ПОКА ЗА ТОБОЙ НЕ УБЕРУТ  
@  
ЯЙЦА ОТРЕЗАЛИ ЕЩЕ В ДЕТСТВЕ  
@  
СМЫСЛ ТВОЕЙ ЖИЗНИ ЗАКЛЮЧАЕТСЯ ЛИШЬ В ТОМ ЧТО БЫ РАЗВЛЕКАТЬ ЛЮДЕЙ, ЖИВУЩИХ В ТВОЁМ ДОМЕ  
@  
ЕРОХА ЗА ОКНОМ ЖРЁТ ЧТО ХОЧЕТ И КОГДА ХОЧЕТ  
@  
ОН ВОЛЕН ИДТИ КУДА ЕМУ ВЗДУМАЕТСЯ  
@  
СРЕТ НА ЛЮДЕЙ С КРЫШИ, ПОКА ВЕТЕР СВОБОДЫ ОБДУВАЕТ ЕГО МОХНАТУЮ МОРДУ  
@  
ЕБЕТ ВСЕХ ТЯНОЧЕК ВО ДВОРЕ  
@  
ЛЮДИ ВСЕРЬЁЗ ЗАДАЮТСЯ ВОПРОСОМ ПОЧЕМУ ТЫ УБЕЖАЛ ИЗ ДОМА",
